['2021-12-31', '15-04-20', 'Оболенск через бумажку всё чисто'],
['2021-09-18', '07-52-17', 'Мишина напротив стадиона труд работает экипаже'],
['2021-09-18', '08-06-17', '5 школа чисто'],
['2021-09-18', '08-27-17', 'поворотные Ивановское кладбище работают'],
['2021-09-18', '08-37-49', 'Ивановское кладбище два экипажа мотобат очень много гаишников'],
['2021-09-18', '08-55-56', 'Доброе утро 8 батальон чисто деревня Борисово на горочке работает Ford Transit'],
['2021-09-18', '09-04-40', 'такси Красное'],
['2021-09-18', '09-09-44', 'площадь 49 армии работает экипаж'],
['2021-09-18', '09-14-37', 'старая контора в обе стороны два экипажа'],
['2021-09-18', '09-42-04', 'актуально напротив Ивановское кладбище с обоих сторон'],
['2021-09-18', '09-42-12', 'Ивановское кладбище чисто'],
['2021-09-18', '10-17-27', 'Лукойл из города'],
['2021-09-18', '10-41-44', 'Ледовый дворец на Пограничный 2 экипажа в обе стороны'],
['2021-09-18', '10-44-53', 'МТС заправка GT Ultima V2 стороны в три палки активно работают'],
['2021-09-18', '11-13-02', 'поворот на Карпова'],
['2021-09-18', '11-18-03', 'техничка на старой конторы'],
['2021-09-18', '12-38-47', 'Tele2 поворота бутурлинское кладбище Экипаж стоит магазинчик'],
['2021-09-18', '13-13-52', 'с бутурлинского кладбище уехали встали где ледовый'],
['2021-09-18', '13-23-54', 'Привет кто поедет в Москву аккуратней там дорога сужение перед этим как его Сейчас скажу перед шепелёво если ехать в сторону Москвы пробка Я вот уже доехал Считаю до Мелихово поворот и всё стоит вообще пола Будь аккуратней смотрите где объект и они не едут они там не надо муж говорит на три пробки и всё стоит'],
['2021-09-18', '13-40-23', 'хомяковское шоссе экипажах работает'],
['2021-09-18', '14-15-43', '74 эвакуатор работает'],
['2021-09-18', '15-18-39', 'Ворошилова 111 заголовком Экипаж на пешехода'],
['2021-09-18', '15-19-33', 'Экипаж работает'],
['2021-09-18', '15-20-19', 'птичка поехала куда-то в сторону или пущино-на-наре пиритом стороны бумажка Куда Куда'],
['2021-09-18', '15-26-49', 'пересечение Советской и Горького перекрёсток авария'],
['2021-09-18', '15-29-10', 'где фонтан остановка напротив это остановке мотоблок на пешеходу смотрит'],
['2021-09-18', '15-33-58', 'Ворошилова Мегафон рынок сторону из центра Стоит ли пешеходы работает'],
['2021-09-18', '15-34-50', '16 школы'],
['2021-09-18', '15-36-42', 'Советская авария сторону Ворошилова'],
['2021-09-18', '15-40-17', 'Ворошилова Корстон Колобок стоит экипаж'],
['2021-09-18', '15-57-03', 'Корстон за Мегафон'],
['2021-09-18', '16-16-42', 'техничка подъехала почти к этому шлагбауму в военное училище на Октябрьской с маячками стоит включенными'],
['2021-09-18', '16-17-34', 'техничка на Октябрьской возле Детского садика радуга'],
['2021-09-18', '16-26-43', 'смотреть камин включенными'],
['2021-09-18', '16-26-49', 'ребята не подскажете в сторону Липецк как Пробка И без пробок можно проехать'],
['2021-09-18', '16-48-16', 'Добрый день всем ребята значит сейчас на данный момент из Серпухова до Чехова прям жёсткая пробка можете не ехать по М2 прямо стопроцентное Я уже 1:25 стою в пробке'],
['2021-09-18', '16-52-59', 'до конца пробкой Я доехала значит здесь после Чехова стоит техника Мне кажется собираются менять асфальт если сейчас такой пробка дальше будет продолжаться И будет хуже ищите пути объезда постараюсь симферопольке я думаю съездить лучше будет'],
['2021-09-18', '16-59-57', 'на Красном на пешехода работают в поликлинике'],
['2021-09-18', '17-54-22', 'считаем вагоны'],
['2021-09-18', '17-56-23', 'шоссе Ледовый дворец кепок спрятался'],
['2021-09-18', '18-10-08', 'дети около Ледового дворца Экипаж работает'],
['2021-09-18', '18-12-37', 'ребят такая ситуация короче перекрёсток может кто знает Не знает Советский проезд Мишина если ехать с России до по Советской вниз в левом ряду на этом перекрёстке Volkswagen стоит поло каршеринг и его просто бросили он без говорить без всего просто стоит иметь в виду'],
['2021-09-18', '18-18-52', 'шаурма 5 звёзд работает'],
['2021-09-18', '18-31-00', 'на Чернышевской Экипаж там шаурма 5 звёзд осторожней будь'],
['2021-09-18', '18-43-24', 'техничка напротив поворота на улице Карпова поисковике'],
['2021-09-18', '18-56-46', '179 коридор'],
['2021-09-18', '19-30-27', 'на Звездный стоят по-моему доброты и equipage'],
['2021-09-18', '19-32-35', 'коллеги добрый Всем добрый вечер повнимательней Ленинского Комсомола и Народного Ополчения перекрёсток вот этот в частном секторе спрятался экипажей ДПС'],
['2021-09-18', '19-38-25', 'на ролтоне пешехода закатали два экипажа сейчас там крутится'],
['2021-09-18', '19-40-22', 'около Ролтона если историков ехать чуть не доезжая первый пешеход не скорее всего кого-то сбили скорая два экипажа ГАИ осторожнее'],
['2021-09-18', '19-47-30', 'улица Центральная на пересечение Ворошилова где детский сад Сказка там коридор организовывает пока что не работает'],
['2021-09-18', '19-49-46', 'Ворошилова пицца 24 которая возле рынка там авария такси перекрыла целую полосу'],
['2021-09-18', '20-24-29', 'всем Вечер добрый коллеги напротив 8 спецроты коридор меня не тормознули что-то внутри такси стояли на проверке'],
['2021-09-18', '21-06-53', 'черняга рынок гепард стоит пешехода палят'],
['2021-09-18', '21-13-41', '108 екипаж в обе стороны тормозит'],
['2021-09-18', '23-35-12', 'Пролетарская 82 напротив суконки экипаж'],
['2021-09-19', '07-14-00', 'Ивановское кладбище на поворотах стали'],
['2021-09-19', '07-27-26', 'Народная Ивановское кладбище работает'],
['2021-09-19', '07-34-01', 'электричка едет по Московскому шоссе в сторону площади сейчас приезжает 45 вазу'],
['2021-09-19', '07-41-37', 'Ивановская актуально работает выборочно'],
['2021-09-19', '08-09-39', 'экипаж'],
['2021-09-19', '08-11-26', 'Ивановское кладбище экипаж'],
['2021-09-19', '08-12-21', '8 батальон Экипаж влаги стороны выборочно'],
['2021-09-19', '08-17-35', 'на Ивановском кладбище чисто'],
['2021-09-19', '08-22-25', 'старая контора техничка актуально'],
['2021-09-19', '08-44-27', 'шоссе сюда Экипаж стоит две штуки'],
['2021-09-19', '08-58-40', 'мойка самообслуживания возле моста работает экипаж'],
['2021-09-19', '09-14-17', 'самообслуживание гшд equipage'],
['2021-09-19', '09-24-52', 'Связной магазин Перекресток Ворошиловский улица Ворошилова аккуратней Будь на пешехода работает'],
['2021-09-19', '09-30-55', 'где перекрёсток Корстон Экипаж на пешеходу'],
['2021-09-19', '09-36-58', 'храм Всех святых где экипаж'],
['2021-09-19', '09-57-03', 'восьмая медсанчасть Экипаж работает'],
['2021-09-19', '10-04-15', 'мой батальон equipage два экипажа'],
['2021-09-19', '10-10-21', 'улица Новая напротив 15 дома equipage'],
['2021-09-19', '10-21-39', 'поворот на дракино напротив заправки Татнефть два экипажа работают'],
['2021-09-19', '10-36-06', 'на Звёздной если ехать с Астаны Ворошилова на Первом пешеходном переходе в левом ряду 70 Ну таксопарке порховского догнал иномарку Так что имей в виду объяснять по правой полосе'],
['2021-09-19', '10-38-48', 'Московская Ворошилова на светофоре авария одна машина стоит в сторону вокзала в правом ряду 2 сторону площади перегородила сродства проекта плюс'],
['2021-09-19', '10-59-36', 'выезд два мотобата техничка'],
['2021-09-19', '11-00-45', 'Борисовское шоссе после Борисово на горке перед выездом на трассу экипаж motoba'],
['2021-09-19', '11-01-54', 'Борисова на горочке Экипаж едва мотобата на выезд'],
['2021-09-19', '11-44-27', 'Большевике на старой конторы сидит в Москве'],
['2021-09-19', '12-08-59', 'Калиново после поворота на дракино после танка 2 Ford Transit 3'],
['2021-09-19', '12-14-29', 'на старой конторе в сторону города'],
['2021-09-19', '12-40-23', 'кому интересна Борисово чисто'],
['2021-09-19', '13-48-46', 'дракино по-прежнему работаю'],
['2021-09-19', '14-40-25', 'Добрый день ещё раз технички на Красном текстильщике прокатиться'],
['2021-09-19', '15-24-47', 'многоликий возле стоянки авария 3 машины ты уже там что разъедутся'],
['2021-09-19', '15-31-25', 'Борисова на горке стоят'],
['2021-09-19', '15-57-30', 'примерно ехать поворота на этот бывший резинщик Экипаж стоит смотрит на знак Стоп не выписывается уже протокол'],
['2021-09-19', '16-11-40', 'постарайся всё-таки они после железнодорожного этого переезда стоят как мирно ехать стригут по полной штраф очень хорошая 5.000 второй раз попадаешься лишение прав меня немножко простились написали что я не пропустил пешехода'],
['2021-09-19', '16-21-52', 'экипаж'],
['2021-09-19', '16-46-27', 'на горке в Борисово всё стоят и на мосту как на Пущино'],
['2021-09-19', '17-15-59', 'законченных там где подвесной мост стоит Экипаж стоит'],
['2021-09-19', '17-17-19', 'Красноармейская и Чехова перекрёсток авария сторону шоссе'],
['2021-09-19', '18-13-21', 'техничка поехал на Чернякова со стороны Пролетарской улицы повернула на Чернигов'],
['2021-09-19', '18-58-17', 'Мишка едет по Ленинскому комсомолу проехала психиатрич q&e сторону города'],
['2021-09-19', '19-35-08', 'осенняя Звёздный экипаж'],
['2021-09-19', '23-07-53', 'напротив космоса equipage'],
['2021-09-19', '23-09-34', 'всем Чернышевского захаркина светофор не работает'],
['2021-09-20', '05-56-05', 'ребят проезд Мишина 18 во дворе где второй подъезд дерево упало на сквозняк не проедете'],
['2021-09-20', '08-22-54', 'калинова заправка Татнефть экипаж'],
['2021-09-20', '09-04-34', 'на выезд из города прямо очень много народу работает'],
['2021-09-20', '09-25-27', 'наманганский паштет'],
['2021-09-20', '09-28-57', 'шоссе 1 заправка Боровая'],
['2021-09-20', '09-30-51', 'ворота сады Авангард два экипажа работают и по грузовым по такси всё подряд короче там'],
['2021-09-20', '09-41-47', '8 батальон 3 экипажа два мотобата пытаются остановить всех работают из города'],
['2021-09-20', '10-05-50', 'поворот на Авангард что-то экипажей нету Только машину одна Говорите стоит без водителя либо на свидетельство него что если кого-то короче ментов нет На повороте'],
['2021-09-20', '10-13-15', '151 правом ряду в сторону центра города от вокзала аварии Так что имейте в виду держитесь левее'],
['2021-09-20', '12-10-18', 'Московское шоссе в сторону города перед переездом фура Largus морду снесла с Новый поворот на Б класс очень будет сильно затруднён ищите объезд'],
['2021-09-20', '12-15-46', 'шоссе внизу где заправка завод смз тормоза 2 руки в сторону двориков'],
['2021-09-20', '12-35-55', '3-е по шахматам мат нормально'],
['2021-09-20', '12-47-10', 'развилки стоят в сторону судимля и паниково'],
['2021-09-20', '12-49-27', 'никого на дороге нас Удивлю до сих пор актуальна стоят две стороны'],
['2021-09-20', '13-24-53', 'выезд квадрата Борисовская 9 авария скорой гаишники такси uber поаккуратней в сторону рынка уже пробка собираются'],
['2021-09-20', '13-42-19', 'Северное шоссе 1 уехал'],
['2021-09-20', '13-50-08', 'Мужики сейчас Авария где магазин Старт прямо сразу за остановкой перекрыли полторы полосы сейчас будет наверное пробка собираться'],
['2021-09-20', '14-29-39', 'магазин стафф который на Ворошилова и уже в сторону какого Костанай ехать'],
['2021-09-20', '14-30-02', 'два экипажа два мотобата сторону области'],
['2021-09-20', '14-41-44', 'кто поедет в Москву имею в виду пробка в сторону Москвы начинается где-то чуть ли не от Щербинки чуть-чуть подальше'],
['2021-09-20', '15-00-53', '144 работает экипаж'],
['2021-09-20', '15-53-38', 'шоссе Как поворачивать квадрат Ну это 9 7 дома вот этот перекрёсток ой выезд со двора авария затруднено движение в город как вот в Корстон ехать имейте в виду что там uber такси с кем схлестнулся'],
['2021-09-20', '16-02-32', 'совет мы ничего ещё не ясно'],
['2021-09-20', '16-02-40', 'на раздатке Камаз работает'],
['2021-09-20', '18-26-18', 'Светофор Ворошилова Центральная Горького работает в аварийном режиме жёлтый мигающий будьте внимательны'],
['2021-09-20', '22-18-07', 'есть кто свободный Может кто забрать с дашковки СНТ Луч за 300 руб до черняги'],
['2021-09-20', '23-28-36', 'Доброе утро Горького Ворошилова светофор не работает'],
['2021-09-21', '05-19-07', 'стоят две руки работают'],
['2021-09-21', '05-54-43', 'Доброе утро ребята светофор не работает Ворошилова'],
['2021-09-21', '06-16-05', 'Северное шоссе 1 заправка самообслуживания рядом с багетом экипаж'],
['2021-09-21', '07-19-47', 'один заправка автоматическая Экипаж стоит практически всех подряд тормози'],
['2021-09-21', '07-25-20', 'Горького и Ворошилова так и не работает Будьте аккуратнее'],
['2021-09-21', '08-52-10', 'Ивановское кладбище экипаж в обе стороны работает'],
['2021-09-21', '08-53-34', 'против дома Борисовское шоссе 33 в сторону Борисова авария левая полоса занята'],
['2021-09-21', '08-56-32', 'Николы белого Экипаж 10 Советской поворачивать с правой стороны два человека тормозят практически всех Руки Вверх 4'],
['2021-09-21', '09-28-17', 'поворот на Ивановское кладбище чисто'],
['2021-09-21', '09-35-45', 'Экипаж стоит там перед поворотом перед светофором там где деревня вот если ехать от воздвиженское с правой стороны'],
['2021-09-21', '09-53-15', 'Включи Светофор в Горького Ворошилова работает очень плохо со стороны Горького в сторону Центральной Если едешь красный жёлтый горит зелёный не горит Так что будьте внимательны поаккуратнее'],
['2021-09-21', '11-47-58', 'Пулковское шоссе цветы Экипаж работает в сторону ногинке'],
['2021-09-21', '13-36-50', 'Ворошилова дисконт Луганская оформляют кого'],
['2021-09-21', '14-17-00', 'чернышёвка шаурма 5 звёзд экипажа стоит но не работает'],
['2021-09-21', '15-19-12', 'деревня Васильевское на горочке где шаурма Ford Transit работает из города'],
['2021-09-21', '16-29-35', 'ребят в районе дома новые 2525 А если ехать в сторону конечки посередине дороги сняли там куски асфальта правда конуса поставили будьте внимательны аккуратнее'],
['2021-09-21', '16-50-49', 'со стороны Васильевского типаж работает'],
['2021-09-21', '18-31-12', 'экипаж'],
['2021-09-21', '20-14-53', 'товаров на Авангард экипажей работает останавливается выборочно'],
['2021-09-21', '22-31-51', 'внимательно 75 арсенал стал Solaris'],
['2021-09-21', '23-41-44', 'Арсенал Это где 45 база военная часть да'],
['2021-09-21', '23-42-32', 'торговый центр Город на Московском шоссе Экипаж стал'],
['2021-09-22', '06-26-21', 'Бутурлино на выезде где МТС наверное'],
['2021-09-22', '07-06-10', '8 батальон Экипаж из города'],
['2021-09-22', '07-07-32', '6 на мигалках'],
['2021-09-22', '08-21-05', 'техничка экипаж'],
['2021-09-22', '08-35-59', 'экипаж'],
['2021-09-22', '08-37-32', 'коллеги дорогие друзья всем хорошего дня это сообщение ребят почитайте до конца если у кого-то возникли какие-то вопросы обращайтесь ко мне пожалуйста в личные сообщения я отвечу всем'],
['2021-09-22', '09-51-21', 'Как деньги скидываются Маме надо набрать предупредить'],
['2021-09-22', '09-58-30', 'SMS оповещения на Как узнать что деньги пришли но от кого Конечно вот это вопрос будет задаваться постоянно по просто отправляйте эсэмэской эсэмэску вместе с деньгами отправлять'],
['2021-09-22', '09-59-43', 'Хорошо понял'],
['2021-09-22', '10-00-05', 'Лукойл okipage стороны Чехова трудиться'],
['2021-09-22', '10-09-38', 'мой интересный Если вдруг кто поедет в Москву там около последней заправки роснефти прямо перед Москвой жёсткая авария там что-то плюшку пробка Я не знаю сколько километров Ну всё на глушняк стоит'],
['2021-09-22', '10-18-00', 'пробка на Москву начинается поворота на щербинку'],
['2021-09-22', '10-19-11', 'на вокзале работа'],
['2021-09-22', '10-56-40', 'на Ворошилова ДТП от вокзала от сторону красного моста такси стоит тоже ДТП попала аж на встречке из другой стороны там какая-то четырка Красная х**** Будьте аккуратно сейчас надо будет там'],
['2021-09-22', '11-21-13', 'Москвы огромная пробка там два грузовика G1 на боку лежит'],
['2021-09-22', '11-47-46', 'уездом вывески Подольский район подъехал всё ещё стоит Я просто людей с лесопарковой подхватил автобус ничего нет здесь пробка Та просто стоит до Щербинки Богородск я-то днях Татнефть Щербинское всё стоит колом в сторону Москвы там говорю грузовик один без Ворда один на полу валяется 5 бажикаево он стоит'],
['2021-09-22', '11-49-27', 'кладбище'],
['2021-09-22', '11-50-03', 'заправка Меридиан выезд Серпухов по Московскому шоссе'],
['2021-09-22', '12-26-10', 'коллеги техничка похожа на обеде стоит возле пансионата на Карла Маркса 5 ну там пусто нет никого видимо на обеде Хотя сюда по заказу приехал сначала подумал закупка Пономаренко 1 стоит'],
['2021-09-22', '13-12-31', 'перед выездом на симферопольке в обе стороны стоят'],
['2021-09-22', '13-13-12', 'дисконт екипаж на пешеходу в сторону вокзала'],
['2021-09-22', '13-56-54', 'стоят с планшетом'],
['2021-09-22', '14-01-53', 'пересечение Ворошилова и Горького перекрёсток авария правая полоса в сторону вокзала закрыта'],
['2021-09-22', '14-09-06', 'улица Дальняя конечная'],
['2021-09-22', '14-36-00', 'улица Дальняя конечная остановка экипажа поставить'],
['2021-09-22', '14-36-09', 'техничка наконечники где шиномонтаж'],
['2021-09-22', '14-53-47', 'конечно дворники техничка так стоит она больше по грузовикам и человек опять знаю когда всё будет делаться'],
['2021-09-22', '15-19-52', 'ПП второй Северный Подольск течение'],
['2021-09-22', '15-30-25', 'Северный переулок Подольская авария затруднительно проект Будьте осторожны'],
['2021-09-22', '15-35-02', 'готовят коридор 10 полками стоят'],
['2021-09-22', '15-42-47', 'Горького авария'],
['2021-09-22', '15-45-16', 'Всем добрый день техничка стоит в двориках на кругу и конуса там выставлены Ну что-то никого не видно'],
['2021-09-22', '16-00-10', 'конечно разъехались все'],
['2021-09-22', '16-38-41', 'ребят Ворошилова авария не доезжая вокзала напротив Пять звёзд шаурма'],
['2021-09-22', '17-37-34', 'вокзала Заинька но объехать можно там приезжают'],
['2021-09-22', '17-37-46', 'посёлок Пограничный 1А где перекрёсток поворот на сторону Бутурлино Пятёрочка авария лобовое левая сторона получается занята В сторону Бутурлино'],
['2021-09-22', '19-45-26', 'Центральная 142 корпус 3 через дорогу напротив Газпрома стоят на борисовском'],
['2021-09-22', '21-30-05', 'дорогие друзья дорогие коллеги Добрый вечер всем смотрите значит вопрос в том что в течение сегодняшнего дня мне очень много люди написали о том что мы не можем перевести на карточку так как у нас нету возможности может наличными передать Я это сообщение отправляю всех для того чтобы если Ребята вы хотите помочь у вас есть желание помочь вот и вас нету возможности перевести денежку значит я завтра вечером это получается у нас 23 числа с 8:00 до 9:00 вечером это получается у нас 20 до 21 часа буду стоять около дисконта напротив дисконта там где я всегда стоял вот если будет какие-то изменения Я сообщу Вот буду стоять там в течение часа если у кого-то есть возможность и желание помочь можете подъехать туда и передать мне наличными сумму без разницы самое главное если вы сможете помочь Помогите пожалуйста человека вытащить из этой ситуации'],
['2021-09-22', '21-42-33', 'KFC напротив Газпрома экипажи работы'],
['2021-09-22', '22-03-19', 'напротив equipage устах'],
['2021-09-23', '07-20-17', 'напротив таймика equipage работает'],
['2021-09-23', '07-38-07', 'выезд на Москву через Бутурлино выезда нету лежит фура уезжаете по-другому через Борисова наверно'],
['2021-09-23', '07-45-03', 'Большевик напротив поворота на улице Карпова стоят но останавливает выборочно'],
['2021-09-23', '09-06-32', 'Доброе утро ребята через Борисово Как там дорога нормально фуру убрали проезд есть подскажите пожалуйста'],
['2021-09-23', '09-27-35', 'школа Круг Экипаж работа'],
['2021-09-23', '09-28-01', 'вторая школа Экипаж стоит'],
['2021-09-23', '09-33-54', 'экипаж'],
['2021-09-23', '09-37-32', 'мотовоз'],
['2021-09-23', '09-51-06', 'экипаж'],
['2021-09-23', '10-21-08', 'Доброе утро русская один Советская 1 подгород чисто'],
['2021-09-23', '10-42-54', 'Окская 1 в STALKER Паш'],
['2021-09-23', '10-47-23', 'Окская 1 начали работу в обе стороны'],
['2021-09-23', '10-50-31', 'актуально'],
['2021-09-23', '10-57-20', 'на повороте На дракинский карьер'],
['2021-09-23', '11-08-29', 'поворот торговый торговый центр Плаза дисконт ДТП прямо на самом поворотники'],
['2021-09-23', '11-43-07', 'известна площадь Ленина Будьте аккуратны пробки начинаются все вокруг'],
['2021-09-23', '12-16-20', 'Ногинском переезде с ты кукушечка сторону осенний улицы одна полоса перекрыта и затруднён выезд Дзержинского направо на звёздную'],
['2021-09-23', '12-38-55', 'Звёздная Дзержинского СТ кукушечка пробочка затруднение'],
['2021-09-23', '12-40-41', 'как заговорила или нет но площадь уже начинает перекрывать с ареста уже не проехать скорее всего из других сторон тоже'],
['2021-09-23', '13-00-08', 'стороны первой Московской площадь перекрыто стоят бетонные блоки'],
['2021-09-23', '13-02-49', 'какой Московской Извините'],
['2021-09-23', '13-02-58', 'батальон Экипаж мотобат из города'],
['2021-09-23', '15-18-14', 'на улице новый магазин Новый за ним если юг-телеком а Экипаж стоит такси оформляет машинку'],
['2021-09-23', '16-45-18', 'Всем добрый вечер коллеги по борисовскому шоссе въезд в город пробка от 8 батальона прям еле-еле ползущая поэтому Там смотрите обижайте там может через Бутурлино чисто я выезжала в город заезжать вообще просто ж***'],
['2021-09-23', '17-40-28', 'подтверждая пробка большая там ДТП после переезда сразу заняли целую полосу'],
['2021-09-23', '17-41-26', 'фура и легковая встретились'],
['2021-09-23', '17-41-38', 'на развязке пошли руки работать'],
['2021-09-23', '17-43-53', 'на мосту стоят'],
['2021-09-23', '17-53-42', 'всё стоит очистка до 101 дома и на горочке после Борисова Ford Transit'],
['2021-09-23', '18-39-31', 'Логан плюс стоят на мигалках оформляют кого-то и чуть дальше по обскому гаражах ещё одна стоит на мигалках машину там по-моему в машине сидят просто'],
['2021-09-23', '19-43-49', 'Пулковском шоссе напротив Газпромнефть заправка авария мне такое ощущение что от Mercedes колесо сломался и похоронили несколько машин там два или три машины Я просто мимо проехал не мог разглядеть сколько машин там он поцарапал и из-под стрелочкой и сзади машина стоял только тоже с бампером взломанный'],
['2021-09-23', '19-44-58', 'Всем добрый вечер на чернягина рынке стоит вдоль дороги Газель дежурная часть милиции расстояние это не техничка смотрит смотрит на пешеход никто Да ну не знаю кто там сейчас ходит но стоит короче'],
['2021-09-23', '22-40-29', 'Всем доброго вечера Экипаж стоит напротив дисконта'],
['2021-09-23', '22-52-57', 'батальон выезде из города вроде работает активно'],
['2021-09-23', '23-03-28', 'Фрося 108 проезжаешь Новый Быт там очень жёсткая Авария Если будете ехать в эту сторону лучше не Езжайте прямо только что'],
['2021-09-23', '23-33-08', 'утро всем старый конторы Экипаж но пока в машине сидят'],
['2021-09-24', '05-53-46', 'через Бутурлино на М2 там где поворот на палихово equipage работает'],
['2021-09-24', '05-57-21', 'автомойка Ока на ногинке работает'],
['2021-09-24', '06-38-56', 'Привет Ты что-то рановато стал вставать раньше k7 выезжал'],
['2021-09-24', '06-47-15', 'на болоте Школа 13 экипаж'],
['2021-09-24', '07-51-57', 'destacado работает экипажей и сыном один тоже работает экипаж'],
['2021-09-24', '08-05-49', 'Фирсова ДПС около этого бассейна'],
['2021-09-24', '09-05-36', '141 около первого подъезда 5 блоке положили сквозного проезда нет испарившейся поедете ещё как там с другого'],
['2021-09-24', '09-06-51', 'где корпуса Херсон пересечение'],
['2021-09-24', '09-15-11', 'Липецк пробочка образуется'],
['2021-09-24', '09-17-43', 'Старая школа кругу экипаж'],
['2021-09-24', '09-36-48', 'техничка на окском шоссе напротив заправки'],
['2021-09-24', '09-38-29', 'сады Авангард'],
['2021-09-24', '09-46-12', 'техничка на волковском шоссе продолжает работать остановил спросил документы посмотрел больше ничего не спрашивал'],
['2021-09-24', '09-48-06', 'как выезжать в заокского на трассу уже ремонт идёт сразу из-под эстакады выскакивает T на трассу Серпухова Экипаж работает'],
['2021-09-24', '09-55-02', 'vox.com'],
['2021-09-24', '10-10-55', 'поворот Авангард один kippage но работает по грузовым'],
['2021-09-24', '10-30-34', 'Весенняя перекрёсток ДТП движение затруднено'],
['2021-09-24', '10-42-18', 'на аварском актуально для меня посмотрел вроде не тормознул'],
['2021-09-24', '11-17-28', 'коллеги Добрый день пересечение обороны Береговой авария в сторону Пролетарской улицы будут затруднения Они как раз полосу перегородили'],
['2021-09-24', '11-29-05', 'техничка работает заправка меридиан на выезде Б класс'],
['2021-09-24', '12-11-47', 'актуально'],
['2021-09-24', '12-38-53', 'газики перед светофором в сторону города авария Hyundai Solaris под трактор заехал под ковш на пробку'],
['2021-09-24', '12-55-17', 'Борисовское шоссе напротив дома 140 2-3 ДТП Solaris испытывает крепость ковша у трактора сарказм конечно но пробка будет справа в правом ряду будет в руках Правый ряд занят'],
['2021-09-24', '12-58-11', 'города в сторону города'],
['2021-09-24', '12-58-20', 'когда предстоит Набери Тане'],
['2021-09-24', '13-25-51', 'Большевик пересечение улицы Молодёжная занята правая сторона в сторону дашковке авария'],
['2021-09-24', '13-33-02', 'Сколько сразу после весеннего манипуляторы выпало пару патронов с правой стороны'],
['2021-09-24', '13-40-58', 'батальон коридор убрали стоит один экипаж в Борисове на горочке тоже один Экипаж работает из города'],
['2021-09-24', '14-45-58', 'через Борисова перед скоростной работает экипаж'],
['2021-09-24', '14-50-17', 'батальон 2 мотоботы работает из города'],
['2021-09-24', '15-06-24', 'с ногинке повернул на окское шоссе'],
['2021-09-24', '15-13-59', 'шоссе торговый центр Диана работает экипаж'],
['2021-09-24', '15-38-29', 'Бутурлино возле магазина тормозят в сторону города'],
['2021-09-24', '16-27-06', 'объезд пробка ты дальше 8 батальона начинается'],
['2021-09-24', '16-27-41', 'Где тебя посидеть ДПС стоит на светофор смотрит кто-то на стрелку с Ворошилова поворачивать не успевает кого-то оформляют уже'],
['2021-09-24', '16-40-10', 'около магазина актуальны до сих пор работают'],
['2021-09-24', '16-49-04', 'Бутурлино с магазинчика уехали'],
['2021-09-24', '17-26-50', 'валенки на кругу встали'],
['2021-09-24', '17-27-40', 'Оболенск стоят'],
['2021-09-24', '18-48-35', 'Экипаж навсегда в машине пока не работает'],
['2021-09-24', '20-17-38', 'площадь 49 армии стоит Экипаж шоколад оформляет'],
['2021-09-24', '21-14-32', 'центр Cosmo'],
['2021-09-24', '21-14-38', 'Косма Экипаж до сих пор стоит актуально'],
['2021-09-24', '21-39-15', 'сколько на Ворошилова работает equipage сторону'],
['2021-09-24', '21-54-27', 'самообслуживание на Ворошилова актуально работает Ребята в город'],
['2021-09-24', '22-04-40', 'ребят мойка самообслуживания Ворошилова стоят в сторону города тормозят'],
['2021-09-24', '22-29-34', 'Весенняя 10 стоят форд-транзит тормозят выборочно'],
['2021-09-24', '23-49-10', 'шоссе на повороте на заправку стоят Газель 8 дали'],
['2021-09-25', '00-16-04', 'на Северном шоссе Ford Transit заправке СМП'],
['2021-09-25', '01-13-32', 'Северное шоссе до сих пор форд-транзит оформляют кого-то там'],
['2021-09-25', '01-15-06', 'Марио equipage'],
['2021-09-25', '06-32-31', 'томат Экипаж поймал оформляет кого-то вдоль дороги стоят'],
['2021-09-25', '07-17-48', 'стояла я не знаю минут 30 Точно Вот наверное её что-ли'],
['2021-09-25', '07-18-33', 'красный Текстильщик 19 работают установили таксистов и проверяют пассажиров на наличие наркотиков'],
['2021-09-25', '07-51-08', '2019 останавливают всех досмотром проверяет всё'],
['2021-09-25', '07-56-42', 'ТЦ Мари актуальна до сих пор стоят работа'],
['2021-09-25', '08-12-55', 'Авангард Экипаж работает или четыре там'],
['2021-09-25', '08-25-27', 'ТРЦ mari актуально'],
['2021-09-25', '08-26-33', 'вторая школа на кругу в две руки'],
['2021-09-25', '08-51-54', 'вторая школа актуальна в большинстве останавливают джипы'],
['2021-09-25', '09-01-07', 'школа Круг okipage выборочно'],
['2021-09-25', '09-20-42', 'против флеша туаль'],
['2021-09-25', '09-28-10', 'Кроха актуальна один Экипаж на весте'],
['2021-09-25', '09-32-16', 'каток стоит напротив фреша на Советской'],
['2021-09-25', '09-42-06', 'работает или с города и'],
['2021-09-25', '09-48-22', 'техничка стоит Советская 71'],
['2021-09-25', '09-52-53', 'поворот на авангард-2 экипажа работают усердно пытается всех но не получается'],
['2021-09-25', '10-41-03', 'Круг актуально'],
['2021-09-25', '10-47-27', 'провожаю по Пушкина едет'],
['2021-09-25', '10-51-43', 'школа до сих пор актуальна'],
['2021-09-25', '11-07-06', 'активно работает в сторону Чехова'],
['2021-09-25', '11-38-10', 'школа Круг до сих пор трудится'],
['2021-09-25', '11-44-13', 'школа чисто уехали наконец'],
